,index,Date,Open,High,Low,Close,Adj Close,Volume,prevClose,prevOpen,prevHigh,prevLow,qty_traded,trading_price,total_qty,inflow,mktval
0,1232,2015-01-02,8300.4501953125,8416.4501953125,8300.4501953125,8399.900390625,8399.900390625,1670100.0,8295.5498046875,8280.5498046875,8305.599609375,8259.5,0.0,-0.0,0.0,-0.0,0.0
1,1233,2015-01-05,8411.75,8453.349609375,8370.7998046875,8383.349609375,8383.349609375,1764200.0,8399.900390625,8300.4501953125,8416.4501953125,8300.4501953125,0.0,-0.0,0.0,-0.0,0.0
2,1234,2015-01-06,8331.650390625,8331.650390625,8119.39990234375,8133.89990234375,8133.89990234375,2539000.0,8383.349609375,8411.75,8453.349609375,8370.7998046875,0.0,-0.0,0.0,-0.0,0.0
3,1235,2015-01-07,8127.35009765625,8160.0498046875,8070.0,8112.35009765625,8112.35009765625,2391600.0,8133.89990234375,8331.650390625,8331.650390625,8119.39990234375,0.0,-0.0,0.0,-0.0,0.0
4,1236,2015-01-08,8200.2001953125,8254.400390625,8181.2001953125,8248.7998046875,8248.7998046875,2226900.0,8112.35009765625,8127.35009765625,8160.0498046875,8070.0,1.0,-8248.7998046875,1.0,-8248.7998046875,8248.7998046875
5,1237,2015-01-09,8300.599609375,8317.25,8209.7001953125,8288.9501953125,8288.9501953125,2323400.0,8248.7998046875,8200.2001953125,8254.400390625,8181.2001953125,0.0,-0.0,1.0,-0.0,8288.9501953125
6,1238,2015-01-12,8295.9501953125,8334.9501953125,8254.0,8327.0498046875,8327.0498046875,1640600.0,8288.9501953125,8300.599609375,8317.25,8209.7001953125,1.0,-8327.0498046875,2.0,-8327.0498046875,16654.099609375
7,1239,2015-01-13,8350.7998046875,8362.7001953125,8275.25,8305.2998046875,8305.2998046875,2061300.0,8327.0498046875,8295.9501953125,8334.9501953125,8254.0,0.0,-0.0,2.0,-0.0,16610.599609375
8,1240,2015-01-14,8315.5,8335.9501953125,8247.400390625,8286.4501953125,8286.4501953125,2327900.0,8305.2998046875,8350.7998046875,8362.7001953125,8275.25,0.0,-0.0,2.0,-0.0,16572.900390625
9,1241,2015-01-15,8428.650390625,8519.400390625,8391.7998046875,8486.2001953125,8486.2001953125,3318200.0,8286.4501953125,8315.5,8335.9501953125,8247.400390625,0.0,-0.0,2.0,-0.0,16972.400390625
10,1242,2015-01-16,8496.150390625,8525.0498046875,8448.599609375,8512.0,8512.0,2566100.0,8486.2001953125,8428.650390625,8519.400390625,8391.7998046875,0.0,-0.0,2.0,-0.0,17024.0
11,1243,2015-01-19,8545.2001953125,8570.900390625,8534.400390625,8548.2998046875,8548.2998046875,1926100.0,8512.0,8496.150390625,8525.0498046875,8448.599609375,-1.0,8548.2998046875,1.0,8548.2998046875,8548.2998046875
12,1244,2015-01-20,8573.099609375,8684.9501953125,8573.099609375,8673.099609375,8673.099609375,2303400.0,8548.2998046875,8545.2001953125,8570.900390625,8534.400390625,-1.0,8673.099609375,0.0,8673.099609375,0.0
13,1245,2015-01-21,8697.7998046875,8719.4501953125,8666.099609375,8705.0,8705.0,2822800.0,8673.099609375,8573.099609375,8684.9501953125,8573.099609375,0.0,-0.0,0.0,-0.0,0.0
14,1246,2015-01-22,8718.849609375,8749.150390625,8698.349609375,8734.599609375,8734.599609375,2567900.0,8705.0,8697.7998046875,8719.4501953125,8666.099609375,-1.0,8734.599609375,-1.0,8734.599609375,-8734.599609375
15,1247,2015-01-23,8801.25,8834.150390625,8765.900390625,8811.650390625,8811.650390625,3031600.0,8734.599609375,8718.849609375,8749.150390625,8698.349609375,0.0,-0.0,-1.0,-0.0,-8811.650390625
16,1248,2015-01-27,8844.650390625,8893.599609375,8799.650390625,8881.0,8881.0,2762700.0,8811.650390625,8801.25,8834.150390625,8765.900390625,-1.0,8881.0,-2.0,8881.0,-17762.0
17,1249,2015-01-28,8873.400390625,8958.400390625,8854.099609375,8893.2998046875,8893.2998046875,2870000.0,8881.0,8844.650390625,8893.599609375,8799.650390625,0.0,-0.0,-2.0,-0.0,-17786.599609375
18,1250,2015-01-29,8881.400390625,8935.849609375,8843.2001953125,8924.2998046875,8924.2998046875,3701100.0,8893.2998046875,8873.400390625,8958.400390625,8854.099609375,-1.0,8924.2998046875,-3.0,8924.2998046875,-26772.8994140625
19,1251,2015-01-30,8968.9501953125,8969.650390625,8762.7001953125,8794.9501953125,8794.9501953125,3869200.0,8924.2998046875,8881.400390625,8935.849609375,8843.2001953125,0.0,-0.0,-3.0,-0.0,-26384.8505859375
20,1252,2015-02-02,8791.400390625,8831.7001953125,8748.349609375,8798.2001953125,8798.2001953125,3083900.0,8794.9501953125,8968.9501953125,8969.650390625,8762.7001953125,0.0,-0.0,-3.0,-0.0,-26394.6005859375
21,1253,2015-02-03,8825.599609375,8838.7001953125,8729.9501953125,8751.2998046875,8751.2998046875,3063700.0,8798.2001953125,8791.400390625,8831.7001953125,8748.349609375,-1.0,8751.2998046875,-4.0,8751.2998046875,-35005.19921875
22,1254,2015-02-04,8784.0498046875,8785.5,8694.849609375,8713.9501953125,8713.9501953125,3029600.0,8751.2998046875,8825.599609375,8838.7001953125,8729.9501953125,0.0,-0.0,-4.0,-0.0,-34855.80078125
23,1255,2015-02-05,8722.4501953125,8812.849609375,8661.7998046875,8688.4501953125,8688.4501953125,2731800.0,8713.9501953125,8784.0498046875,8785.5,8694.849609375,0.0,-0.0,-4.0,-0.0,-34753.80078125
24,1256,2015-02-06,8677.400390625,8705.0498046875,8624.0498046875,8637.75,8637.75,2629000.0,8688.4501953125,8722.4501953125,8812.849609375,8661.7998046875,1.0,-8637.75,-3.0,-8637.75,-25913.25
25,1257,2015-02-09,8563.400390625,8579.5498046875,8490.650390625,8500.400390625,8500.400390625,2305800.0,8637.75,8677.400390625,8705.0498046875,8624.0498046875,0.0,-0.0,-3.0,-0.0,-25501.201171875
26,1258,2015-02-10,8454.849609375,8627.0498046875,8447.7998046875,8547.7001953125,8547.7001953125,2974600.0,8500.400390625,8563.400390625,8579.5498046875,8490.650390625,0.0,-0.0,-3.0,-0.0,-25643.1005859375
27,1259,2015-02-11,8585.9501953125,8640.650390625,8580.849609375,8623.849609375,8623.849609375,2373200.0,8547.7001953125,8454.849609375,8627.0498046875,8447.7998046875,0.0,-0.0,-3.0,-0.0,-25871.548828125
28,1260,2015-02-12,8674.849609375,8733.0498046875,8608.900390625,8714.75,8714.75,2505600.0,8623.849609375,8585.9501953125,8640.650390625,8580.849609375,0.0,-0.0,-3.0,-0.0,-26144.25
29,1261,2015-02-13,8744.7998046875,8814.650390625,8733.0,8800.2001953125,8800.2001953125,3113300.0,8714.75,8674.849609375,8733.0498046875,8608.900390625,0.0,-0.0,-3.0,-0.0,-26400.6005859375
30,1262,2015-02-16,8827.2998046875,8863.0,8780.349609375,8796.349609375,8796.349609375,2131500.0,8800.2001953125,8744.7998046875,8814.650390625,8733.0,0.0,-0.0,-3.0,-0.0,-26389.048828125
31,1263,2015-02-18,8802.0,8875.150390625,8802.0,8854.2998046875,8854.2998046875,2298500.0,8796.349609375,8827.2998046875,8863.0,8780.349609375,0.0,-0.0,-3.0,-0.0,-26562.8994140625
32,1264,2015-02-19,8872.5498046875,8890.7998046875,8775.7998046875,8874.849609375,8874.849609375,2943400.0,8854.2998046875,8802.0,8875.150390625,8802.0,0.0,-0.0,-3.0,-0.0,-26624.548828125
33,1265,2015-02-20,8881.349609375,8881.349609375,8804.400390625,8826.349609375,8826.349609375,2747200.0,8874.849609375,8872.5498046875,8890.7998046875,8775.7998046875,-1.0,8826.349609375,-4.0,8826.349609375,-35305.3984375
34,1266,2015-02-23,8855.0498046875,8862.650390625,8732.2998046875,8749.150390625,8749.150390625,2104000.0,8826.349609375,8881.349609375,8881.349609375,8804.400390625,0.0,-0.0,-4.0,-0.0,-34996.6015625
35,1267,2015-02-24,8766.5498046875,8787.400390625,8718.4501953125,8754.2001953125,8754.2001953125,2380600.0,8749.150390625,8855.0498046875,8862.650390625,8732.2998046875,0.0,-0.0,-4.0,-0.0,-35016.80078125
36,1268,2015-02-25,8794.0498046875,8829.2998046875,8740.7001953125,8756.0,8756.0,2086300.0,8754.2001953125,8766.5498046875,8787.400390625,8718.4501953125,1.0,-8756.0,-3.0,-8756.0,-26268.0
37,1269,2015-02-26,8767.0498046875,8771.75,8657.2998046875,8670.9501953125,8670.9501953125,3511300.0,8756.0,8794.0498046875,8829.2998046875,8740.7001953125,0.0,-0.0,-3.0,-0.0,-26012.8505859375
38,1270,2015-02-27,8714.349609375,8847.849609375,8709.2998046875,8836.349609375,8836.349609375,3399800.0,8670.9501953125,8767.0498046875,8771.75,8657.2998046875,0.0,-0.0,-3.0,-0.0,-26509.048828125
39,1271,2015-03-02,8937.75,8960.2998046875,8873.0,8948.5,8948.5,3140300.0,8836.349609375,8714.349609375,8847.849609375,8709.2998046875,0.0,-0.0,-3.0,-0.0,-26845.5
40,1272,2015-03-03,8956.349609375,9002.5498046875,8924.7001953125,8991.400390625,8991.400390625,2613000.0,8948.5,8937.75,8960.2998046875,8873.0,-1.0,8991.400390625,-4.0,8991.400390625,-35965.6015625
41,1273,2015-03-04,9098.75,9105.400390625,8887.75,8913.0,8913.0,3552700.0,8991.400390625,8956.349609375,9002.5498046875,8924.7001953125,0.0,-0.0,-4.0,-0.0,-35652.0
42,1274,2015-03-05,8922.849609375,8951.650390625,8846.0,8933.599609375,8933.599609375,2489600.0,8913.0,9098.75,9105.400390625,8887.75,0.0,-0.0,-4.0,-0.0,-35734.3984375
43,1275,2015-03-09,8889.0498046875,8889.0498046875,8748.650390625,8763.2998046875,8763.2998046875,2376300.0,8933.599609375,8922.849609375,8951.650390625,8846.0,-1.0,8763.2998046875,-5.0,8763.2998046875,-43816.4990234375
44,1276,2015-03-10,8778.650390625,8795.099609375,8693.2001953125,8727.599609375,8727.599609375,2520200.0,8763.2998046875,8889.0498046875,8889.0498046875,8748.650390625,0.0,-0.0,-5.0,-0.0,-43637.998046875
45,1277,2015-03-11,8745.2001953125,8765.650390625,8697.0498046875,8713.7998046875,8713.7998046875,2605700.0,8727.599609375,8778.650390625,8795.099609375,8693.2001953125,0.0,-0.0,-5.0,-0.0,-43568.9990234375
46,1278,2015-03-12,8753.400390625,8812.25,8749.2998046875,8802.7998046875,8802.7998046875,2754300.0,8713.7998046875,8745.2001953125,8765.650390625,8697.0498046875,0.0,-0.0,-5.0,-0.0,-44013.9990234375
47,1279,2015-03-13,8868.599609375,8871.599609375,8659.2001953125,8673.900390625,8673.900390625,2970800.0,8802.7998046875,8753.400390625,8812.25,8749.2998046875,0.0,-0.0,-5.0,-0.0,-43369.501953125
48,1280,2015-03-16,8685.099609375,8689.0498046875,8630.7001953125,8651.099609375,8651.099609375,2655500.0,8673.900390625,8868.599609375,8871.599609375,8659.2001953125,0.0,-0.0,-5.0,-0.0,-43255.498046875
49,1281,2015-03-17,8704.9501953125,8765.400390625,8657.900390625,8748.099609375,8748.099609375,2622200.0,8651.099609375,8685.099609375,8689.0498046875,8630.7001953125,0.0,-0.0,-5.0,-0.0,-43740.498046875
50,1282,2015-03-18,8769.400390625,8769.400390625,8696.75,8719.75,8719.75,2347100.0,8748.099609375,8704.9501953125,8765.400390625,8657.900390625,0.0,-0.0,-5.0,-0.0,-43598.75
51,1283,2015-03-19,8783.75,8823.75,8652.25,8671.2998046875,8671.2998046875,2375900.0,8719.75,8769.400390625,8769.400390625,8696.75,0.0,-0.0,-5.0,-0.0,-43356.4990234375
52,1284,2015-03-20,8666.650390625,8666.650390625,8579.400390625,8596.2998046875,8596.2998046875,2690600.0,8671.2998046875,8783.75,8823.75,8652.25,0.0,-0.0,-5.0,-0.0,-42981.4990234375
53,1285,2015-03-23,8616.7998046875,8631.099609375,8556.7001953125,8567.4501953125,8567.4501953125,2055100.0,8596.2998046875,8666.650390625,8666.650390625,8579.400390625,0.0,-0.0,-5.0,-0.0,-42837.2509765625
54,1286,2015-03-24,8556.0,8633.9501953125,8548.7001953125,8556.0,8556.0,2184900.0,8567.4501953125,8616.7998046875,8631.099609375,8556.7001953125,0.0,-0.0,-5.0,-0.0,-42780.0
55,1287,2015-03-25,8581.9501953125,8583.900390625,8532.75,8546.2998046875,8546.2998046875,2241700.0,8556.0,8556.0,8633.9501953125,8548.7001953125,0.0,-0.0,-5.0,-0.0,-42731.4990234375
56,1288,2015-03-26,8494.4501953125,8514.2001953125,8356.900390625,8370.900390625,8370.900390625,4036600.0,8546.2998046875,8581.9501953125,8583.900390625,8532.75,0.0,-0.0,-5.0,-0.0,-41854.501953125
57,1289,2015-03-27,8425.5,8430.5498046875,8286.150390625,8370.099609375,8370.099609375,2719600.0,8370.900390625,8494.4501953125,8514.2001953125,8356.900390625,0.0,-0.0,-5.0,-0.0,-41850.498046875
58,1290,2015-03-30,8421.150390625,8527.7001953125,8415.849609375,8518.349609375,8518.349609375,1993000.0,8370.099609375,8425.5,8430.5498046875,8286.150390625,0.0,-0.0,-5.0,-0.0,-42591.748046875
59,1291,2015-03-31,8555.2001953125,8577.75,8483.2998046875,8519.5,8519.5,2496300.0,8518.349609375,8421.150390625,8527.7001953125,8415.849609375,0.0,-0.0,-5.0,-0.0,-42597.5
60,1292,2015-04-01,8513.599609375,8627.5,8494.5,8613.349609375,8613.349609375,1905200.0,8519.5,8555.2001953125,8577.75,8483.2998046875,0.0,-0.0,-5.0,-0.0,-43066.748046875
61,1293,2015-04-06,8644.900390625,8696.0,8606.349609375,8688.400390625,8688.400390625,2141900.0,8613.349609375,8513.599609375,8627.5,8494.5,0.0,-0.0,-5.0,-0.0,-43442.001953125
62,1294,2015-04-07,8713.7001953125,8724.0498046875,8624.75,8702.75,8702.75,2273900.0,8688.400390625,8644.900390625,8696.0,8606.349609375,0.0,-0.0,-5.0,-0.0,-43513.75
63,1295,2015-04-08,8742.900390625,8774.0498046875,8724.2998046875,8759.0,8759.0,2396600.0,8702.75,8713.7001953125,8724.0498046875,8624.75,1.0,-8759.0,-4.0,-8759.0,-35036.0
64,1296,2015-04-09,8802.7998046875,8821.900390625,8726.9501953125,8815.0,8815.0,2510900.0,8759.0,8742.900390625,8774.0498046875,8724.2998046875,0.0,-0.0,-4.0,-0.0,-35260.0
65,1297,2015-04-10,8812.9501953125,8832.900390625,8782.599609375,8825.900390625,8825.900390625,2752800.0,8815.0,8802.7998046875,8821.900390625,8726.9501953125,-1.0,8825.900390625,-5.0,8825.900390625,-44129.501953125
66,1298,2015-04-13,8847.849609375,8889.25,8816.4501953125,8882.2998046875,8882.2998046875,2044100.0,8825.900390625,8812.9501953125,8832.900390625,8782.599609375,0.0,-0.0,-5.0,-0.0,-44411.4990234375
67,1299,2015-04-15,8895.2001953125,8895.2001953125,8773.9501953125,8799.849609375,8799.849609375,2643700.0,8882.2998046875,8847.849609375,8889.25,8816.4501953125,0.0,-0.0,-5.0,-0.0,-43999.248046875
68,1300,2015-04-16,8808.75,8809.7998046875,8690.0498046875,8753.900390625,8753.900390625,2230200.0,8799.849609375,8895.2001953125,8895.2001953125,8773.9501953125,0.0,-0.0,-5.0,-0.0,-43769.501953125
69,1301,2015-04-17,8747.099609375,8748.0498046875,8638.25,8647.9501953125,8647.9501953125,2264000.0,8753.900390625,8808.75,8809.7998046875,8690.0498046875,0.0,-0.0,-5.0,-0.0,-43239.7509765625
70,1302,2015-04-20,8662.400390625,8662.400390625,8456.5498046875,8487.0,8487.0,2296900.0,8647.9501953125,8747.099609375,8748.0498046875,8638.25,0.0,-0.0,-5.0,-0.0,-42435.0
71,1303,2015-04-21,8462.849609375,8508.2001953125,8394.2001953125,8418.7001953125,8418.7001953125,4885800.0,8487.0,8662.400390625,8662.400390625,8456.5498046875,0.0,-0.0,-5.0,-0.0,-42093.5009765625
72,1304,2015-04-22,8443.5,8481.75,8324.900390625,8463.599609375,8463.599609375,2549300.0,8418.7001953125,8462.849609375,8508.2001953125,8394.2001953125,0.0,-0.0,-5.0,-0.0,-42317.998046875
73,1305,2015-04-23,8512.099609375,8541.25,8407.849609375,8441.099609375,8441.099609375,2314700.0,8463.599609375,8443.5,8481.75,8324.900390625,-1.0,8441.099609375,-6.0,8441.099609375,-50646.59765625
74,1306,2015-04-24,8450.150390625,8452.349609375,8312.2001953125,8342.900390625,8342.900390625,2474300.0,8441.099609375,8512.099609375,8541.25,8407.849609375,0.0,-0.0,-6.0,-0.0,-50057.40234375
75,1307,2015-04-27,8366.4501953125,8367.849609375,8229.9501953125,8241.2998046875,8241.2998046875,2550400.0,8342.900390625,8450.150390625,8452.349609375,8312.2001953125,0.0,-0.0,-6.0,-0.0,-49447.798828125
76,1308,2015-04-28,8239.5,8342.099609375,8211.9501953125,8323.4501953125,8323.4501953125,2691200.0,8241.2998046875,8366.4501953125,8367.849609375,8229.9501953125,0.0,-0.0,-6.0,-0.0,-49940.701171875
77,1309,2015-04-29,8316.9501953125,8347.4501953125,8259.599609375,8287.400390625,8287.400390625,2480400.0,8323.4501953125,8239.5,8342.099609375,8211.9501953125,0.0,-0.0,-6.0,-0.0,-49724.40234375
78,1310,2015-04-30,8274.5498046875,8275.25,8199.4501953125,8239.5498046875,8239.5498046875,4029500.0,8287.400390625,8316.9501953125,8347.4501953125,8259.599609375,0.0,-0.0,-6.0,-0.0,-49437.298828125
79,1311,2015-05-04,8288.650390625,8402.9501953125,8282.7998046875,8389.900390625,8389.900390625,2135200.0,8239.5498046875,8274.5498046875,8275.25,8199.4501953125,0.0,-0.0,-6.0,-0.0,-50339.40234375
80,1312,2015-05-05,8396.5,8419.2998046875,8349.2998046875,8393.5498046875,8393.5498046875,2491300.0,8389.900390625,8288.650390625,8402.9501953125,8282.7998046875,0.0,-0.0,-6.0,-0.0,-50361.298828125
81,1313,2015-05-06,8382.7001953125,8394.25,8142.39990234375,8156.75,8156.75,3126800.0,8393.5498046875,8396.5,8419.2998046875,8349.2998046875,1.0,-8156.75,-5.0,-8156.75,-40783.75
82,1314,2015-05-07,8137.2998046875,8170.85009765625,8028.2998046875,8089.35009765625,8089.35009765625,2377900.0,8156.75,8382.7001953125,8394.25,8142.39990234375,0.0,-0.0,-5.0,-0.0,-40446.75048828125
83,1315,2015-05-08,8160.7998046875,8261.7001953125,8160.7998046875,8230.0498046875,8230.0498046875,2514700.0,8089.35009765625,8137.2998046875,8170.85009765625,8028.2998046875,0.0,-0.0,-5.0,-0.0,-41150.2490234375
84,1316,2015-05-11,8283.2001953125,8379.0,8267.099609375,8372.0498046875,8372.0498046875,2686200.0,8230.0498046875,8160.7998046875,8261.7001953125,8160.7998046875,0.0,-0.0,-5.0,-0.0,-41860.2490234375
85,1317,2015-05-12,8373.9501953125,8373.9501953125,8168.2998046875,8179.2001953125,8179.2001953125,2643500.0,8372.0498046875,8283.2001953125,8379.0,8267.099609375,0.0,-0.0,-5.0,-0.0,-40896.0009765625
86,1318,2015-05-13,8235.0,8312.349609375,8154.14990234375,8298.5,8298.5,2740000.0,8179.2001953125,8373.9501953125,8373.9501953125,8168.2998046875,0.0,-0.0,-5.0,-0.0,-41492.5
87,1319,2015-05-14,8294.900390625,8316.2001953125,8208.099609375,8305.2001953125,8305.2001953125,2186300.0,8298.5,8235.0,8312.349609375,8154.14990234375,0.0,-0.0,-5.0,-0.0,-41526.0009765625
88,1320,2015-05-15,8323.099609375,8360.0498046875,8296.2001953125,8342.25,8342.25,1982600.0,8305.2001953125,8294.900390625,8316.2001953125,8208.099609375,-1.0,8342.25,-6.0,8342.25,-50053.5
89,1321,2015-05-18,8366.4501953125,8461.099609375,8354.4501953125,8452.5498046875,8452.5498046875,2129500.0,8342.25,8323.099609375,8360.0498046875,8296.2001953125,0.0,-0.0,-6.0,-0.0,-50715.298828125
90,1322,2015-05-19,8436.75,8504.650390625,8415.150390625,8445.25,8445.25,2051100.0,8452.5498046875,8366.4501953125,8461.099609375,8354.4501953125,0.0,-0.0,-6.0,-0.0,-50671.5
91,1323,2015-05-20,8475.4501953125,8518.0,8475.4501953125,8495.900390625,8495.900390625,1934500.0,8445.25,8436.75,8504.650390625,8415.150390625,-1.0,8495.900390625,-7.0,8495.900390625,-59471.302734375
92,1324,2015-05-21,8507.0,8513.9501953125,8453.0498046875,8489.5,8489.5,2029800.0,8495.900390625,8475.4501953125,8518.0,8475.4501953125,0.0,-0.0,-7.0,-0.0,-59426.5
93,1325,2015-05-22,8503.0498046875,8552.650390625,8486.400390625,8523.150390625,8523.150390625,2485000.0,8489.5,8507.0,8513.9501953125,8453.0498046875,0.0,-0.0,-7.0,-0.0,-59662.052734375
94,1326,2015-05-25,8503.5,8508.25,8441.349609375,8447.599609375,8447.599609375,1749600.0,8523.150390625,8503.0498046875,8552.650390625,8486.400390625,0.0,-0.0,-7.0,-0.0,-59133.197265625
95,1327,2015-05-26,8456.099609375,8458.2001953125,8399.349609375,8419.599609375,8419.599609375,1780000.0,8447.599609375,8503.5,8508.25,8441.349609375,0.0,-0.0,-7.0,-0.0,-58937.197265625
96,1328,2015-05-27,8378.7998046875,8414.25,8357.7001953125,8406.5,8406.5,2356600.0,8419.599609375,8456.099609375,8458.2001953125,8399.349609375,0.0,-0.0,-7.0,-0.0,-58845.5
97,1329,2015-05-28,8417.150390625,8432.099609375,8330.9501953125,8383.4501953125,8383.4501953125,3494200.0,8406.5,8378.7998046875,8414.25,8357.7001953125,0.0,-0.0,-7.0,-0.0,-58684.1513671875
98,1330,2015-05-29,8394.2001953125,8506.2001953125,8374.9501953125,8499.849609375,8499.849609375,5727400.0,8383.4501953125,8417.150390625,8432.099609375,8330.9501953125,0.0,-0.0,-7.0,-0.0,-59498.947265625
99,1331,2015-06-01,8480.0,8525.2998046875,8472.849609375,8495.5498046875,8495.5498046875,1810600.0,8499.849609375,8394.2001953125,8506.2001953125,8374.9501953125,0.0,-0.0,-7.0,-0.0,-59468.8486328125
100,1332,2015-06-02,8506.400390625,8506.400390625,8292.25,8300.849609375,8300.849609375,2212800.0,8495.5498046875,8480.0,8525.2998046875,8472.849609375,0.0,-0.0,-7.0,-0.0,-58105.947265625
101,1333,2015-06-03,8298.2998046875,8298.2998046875,8141.7998046875,8197.900390625,8197.900390625,2854000.0,8300.849609375,8506.400390625,8506.400390625,8292.25,0.0,-0.0,-7.0,-0.0,-57385.302734375
